X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
763;258;0.4838243;0.290654;0.6219599;0.1778481;397.7;0.180943;False;2026-06-19 9:40:55 AM:135;1781854855135;;
846;254;0.5359196;0.2867387;0.6429678;0.1828924;399.4;0.1868784;False;2026-06-19 9:40:55 AM:169;1781854855169;;
893;251;0.5657787;0.2837141;0.6429695;0.1828928;400.9;0.186879;False;2026-06-19 9:40:55 AM:200;1781854855200;;
926;246;0.5864699;0.2779678;0.6462113;0.1603266;402.0;0.1881913;False;2026-06-19 9:40:55 AM:236;1781854855236;;
946;242;0.5994732;0.2735238;0.6462187;0.1603285;403.0;0.1881935;False;2026-06-19 9:40:55 AM:269;1781854855269;;
962;241;0.6097044;0.2724628;0.6539323;0.2126346;404.0;0.1877303;False;2026-06-19 9:40:55 AM:300;1781854855300;;
970;241;0.6148745;0.2722687;0.6441653;0.1994448;404.9;0.1877076;False;2026-06-19 9:40:55 AM:332;1781854855332;;
980;241;0.6206861;0.2716375;0.6534106;0.2066617;405.4;0.1897446;False;2026-06-19 9:40:55 AM:367;1781854855367;;
986;240;0.6245028;0.2711696;0.6534188;0.2066644;405.9;0.1897486;False;2026-06-19 9:40:55 AM:397;1781854855397;;
1009;240;0.6391549;0.2703384;0.7096522;0.1894329;403.6;0.2038823;False;2026-06-19 9:40:55 AM:430;1781854855430;;
1025;239;0.649147;0.269681;0.7096536;0.1894333;401.5;0.2038828;False;2026-06-19 9:40:55 AM:461;1781854855461;;
1032;238;0.6537456;0.2688907;0.6934151;0.2117237;399.9;0.2085318;False;2026-06-19 9:40:55 AM:492;1781854855492;;
1037;238;0.657162;0.2682538;0.6934059;0.2117211;398.5;0.2085265;False;2026-06-19 9:40:55 AM:522;1781854855522;;
1057;238;0.6696408;0.2681352;0.7440122;0.2030774;396.7;0.2000156;False;2026-06-19 9:40:55 AM:555;1781854855555;;
1071;238;0.6784344;0.2680385;0.7440102;0.2030768;395.1;0.2000146;False;2026-06-19 9:40:55 AM:585;1781854855585;;
1071;237;0.67874;0.2672268;0.6903155;0.2482803;393.4;0.200219;False;2026-06-19 9:40:55 AM:616;1781854855616;;
1072;236;0.6789865;0.2665796;0.6903051;0.2482777;391.9;0.200213;False;2026-06-19 9:40:55 AM:647;1781854855647;;
1072;236;0.6791922;0.2660448;0.6902912;0.2482744;390.6;0.2002051;False;2026-06-19 9:40:55 AM:679;1781854855679;;
1078;297;0.6828158;0.3345459;0.7283186;0.5531906;389.2;0.1713857;False;2026-06-19 9:40:55 AM:711;1781854855711;;
1090;398;0.6905343;0.4488222;0.7557175;0.7124546;389.6;0.1679086;False;2026-06-19 9:40:55 AM:746;1781854855746;;
1092;441;0.6920156;0.4976044;0.7272616;0.6707567;389.9;0.1679164;False;2026-06-19 9:40:55 AM:776;1781854855776;;
1101;475;0.6974741;0.5358867;0.759645;0.686563;389.9;0.1714753;False;2026-06-19 9:40:55 AM:807;1781854855807;;
1107;498;0.7014749;0.5609051;0.7596228;0.6865383;389.9;0.1714734;False;2026-06-19 9:40:55 AM:836;1781854855836;;
1113;515;0.704926;0.5803083;0.7596022;0.6865152;389.9;0.1714718;False;2026-06-19 9:40:55 AM:866;1781854855866;;
1118;541;0.7082743;0.6096078;0.7623646;0.742575;390.9;0.1737636;False;2026-06-19 9:40:55 AM:900;1781854855900;;
1122;558;0.7107285;0.6288402;0.7623662;0.7425767;391.8;0.1737631;False;2026-06-19 9:40:55 AM:932;1781854855932;;
